image_name,avg_color_r,avg_color_g,avg_color_b
01896_00.jpg,189,142,113
07482_00.jpg,192,148,122
12373_00.jpg,172,112,77
13644_00.jpg,206,165,143
09360_00.jpg,121,78,62
08657_00.jpg,175,136,117
08106_00.jpg,209,169,145
09431_00.jpg,199,138,99
13115_00.jpg,137,100,86
12422_00.jpg,191,153,131
02229_00.jpg,167,130,107
00847_00.jpg,192,152,125
02578_00.jpg,191,138,112
07635_00.jpg,204,167,150
06302_00.jpg,165,125,106
12695_00.jpg,142,106,87
06453_00.jpg,148,102,80
07164_00.jpg,181,136,111
09686_00.jpg,217,182,158
08757_00.jpg,171,131,112
07582_00.jpg,191,142,116
13744_00.jpg,184,140,122
12522_00.jpg,164,129,106
08006_00.jpg,186,152,135
09531_00.jpg,206,160,132
07735_00.jpg,152,106,87
09786_00.jpg,185,151,137
12795_00.jpg,207,163,141
06553_00.jpg,153,106,82
07064_00.jpg,172,121,97
00947_00.jpg,171,130,109
02329_00.jpg,200,159,136
02478_00.jpg,175,132,107
10708_00.jpg,172,125,101
13851_00.jpg,211,171,150
08842_00.jpg,188,143,120
10059_00.jpg,186,143,119
14623_00.jpg,139,95,83
01683_00.jpg,160,120,100
07820_00.jpg,179,139,122
04779_00.jpg,177,136,115
11088_00.jpg,190,154,131
12880_00.jpg,148,113,94
04028_00.jpg,162,123,99
09893_00.jpg,176,132,104
14494_00.jpg,188,159,141
00652_00.jpg,172,137,120
00103_00.jpg,148,98,79
01434_00.jpg,185,138,118
01783_00.jpg,197,154,133
14072_00.jpg,190,144,121
08942_00.jpg,130,93,77
10608_00.jpg,144,103,85
10159_00.jpg,205,163,140
14594_00.jpg,156,107,85
00752_00.jpg,204,158,134
00003_00.jpg,189,141,119
01534_00.jpg,170,132,117
04679_00.jpg,192,153,129
07920_00.jpg,170,130,106
11188_00.jpg,134,91,77
12980_00.jpg,185,148,128
04128_00.jpg,194,154,132
03285_00.jpg,216,171,146
13639_00.jpg,178,133,108
13168_00.jpg,171,131,112
06699_00.jpg,153,104,83
